Date,Adj Close,Volume,Day_Perc_Change,Name
11/29/2018,7273.080078,1983460000,-0.253850894,NASDAQ
11/30/2018,7330.540039,2542820000,0.790036139,NASDAQ
12/3/2018,7441.509766,2621020000,1.513800162,NASDAQ
12/4/2018,7158.430176,2635810000,-3.804061258,NASDAQ
12/6/2018,7188.259766,2833870000,0.416705748,NASDAQ
12/7/2018,6969.25,2475160000,-3.046770333,NASDAQ
12/10/2018,7020.52002,2367560000,0.735660509,NASDAQ
12/11/2018,7031.830078,2246060000,0.161100004,NASDAQ
12/12/2018,7098.310059,2412300000,0.945415066,NASDAQ
12/13/2018,7070.330078,2143520000,-0.394178062,NASDAQ
12/14/2018,6910.660156,2200510000,-2.258309304,NASDAQ
12/17/2018,6753.72998,2665240000,-2.270842039,NASDAQ
12/18/2018,6783.910156,2595400000,0.446866785,NASDAQ
12/19/2018,6636.830078,2899950000,-2.168072315,NASDAQ
12/20/2018,6528.410156,3258090000,-1.633610033,NASDAQ
12/21/2018,6332.990234,4534120000,-2.993376907,NASDAQ
12/24/2018,6192.919922,1647270000,-2.211756324,NASDAQ
12/26/2018,6554.359863,2558940000,5.836341266,NASDAQ
12/27/2018,6579.490234,2415870000,0.383414575,NASDAQ
12/28/2018,6584.52002,2199090000,0.076446439,NASDAQ
12/31/2018,6635.279785,2098560000,0.770895446,NASDAQ
1/2/2019,6665.939941,2261800000,0.462077817,NASDAQ
1/3/2019,6463.5,2607290000,-3.036930167,NASDAQ
1/4/2019,6738.859863,2579550000,4.260228406,NASDAQ
1/7/2019,6823.470215,2507550000,1.255558859,NASDAQ
1/8/2019,6897,2380290000,1.077601025,NASDAQ
1/9/2019,6957.080078,2422590000,0.871104509,NASDAQ
1/10/2019,6986.069824,2179080000,0.416694154,NASDAQ
1/11/2019,6971.47998,2066500000,-0.208841944,NASDAQ
1/14/2019,6905.919922,1942210000,-0.940403733,NASDAQ
1/15/2019,7023.830078,2038090000,1.707377979,NASDAQ
1/16/2019,7034.689941,2149580000,0.154614546,NASDAQ
1/17/2019,7084.459961,2128840000,0.707494153,NASDAQ
1/18/2019,7157.22998,2451240000,1.027178069,NASDAQ
1/22/2019,7020.359863,2380950000,-1.912333646,NASDAQ
1/23/2019,7025.77002,2274420000,0.077063813,NASDAQ
1/24/2019,7073.459961,2400290000,0.678785967,NASDAQ
1/25/2019,7164.859863,2440840000,1.292152674,NASDAQ
1/28/2019,7085.680176,2435480000,-1.105111454,NASDAQ
1/29/2019,7028.290039,2089690000,-0.809945349,NASDAQ
1/30/2019,7183.080078,2544050000,2.202385476,NASDAQ
1/31/2019,7281.740234,2918710000,1.373507673,NASDAQ
2/1/2019,7263.870117,2383430000,-0.245409977,NASDAQ
2/4/2019,7347.540039,2099470000,1.151864236,NASDAQ
2/5/2019,7402.080078,2265520000,0.742289783,NASDAQ
2/6/2019,7375.279785,2167130000,-0.362064348,NASDAQ
2/7/2019,7288.350098,2295080000,-1.178662905,NASDAQ
2/8/2019,7298.200195,2086260000,0.135148516,NASDAQ
2/11/2019,7307.899902,1897800000,0.132905466,NASDAQ
2/12/2019,7414.620117,2124330000,1.460340405,NASDAQ
2/13/2019,7420.379883,2093800000,0.077681202,NASDAQ
2/14/2019,7426.950195,2103370000,0.088544146,NASDAQ
2/15/2019,7472.410156,2257750000,0.612094599,NASDAQ
2/19/2019,7486.77002,2120790000,0.192171785,NASDAQ
2/20/2019,7489.069824,2181760000,0.03071824,NASDAQ
2/21/2019,7459.709961,2119080000,-0.392036177,NASDAQ
2/22/2019,7527.540039,2417680000,0.909285728,NASDAQ
2/25/2019,7554.459961,2363140000,0.357619114,NASDAQ
2/26/2019,7549.299805,2257710000,-0.068306087,NASDAQ
2/27/2019,7554.509766,2423360000,0.069012506,NASDAQ
2/28/2019,7532.529785,2647080000,-0.290951785,NASDAQ
3/1/2019,7595.350098,2463190000,0.833986918,NASDAQ
3/4/2019,7577.569824,2569590000,-0.234094199,NASDAQ
3/5/2019,7576.359863,2142610000,-0.015967665,NASDAQ
3/6/2019,7505.919922,2242810000,-0.929733306,NASDAQ
3/7/2019,7421.459961,2440840000,-1.125244632,NASDAQ
3/8/2019,7408.140137,2245430000,-0.179477139,NASDAQ
3/11/2019,7558.060059,2226950000,2.023718764,NASDAQ
3/12/2019,7591.029785,2161400000,0.436219423,NASDAQ
3/13/2019,7643.410156,2366350000,0.690029844,NASDAQ
3/14/2019,7630.910156,2176510000,-0.163539569,NASDAQ
3/15/2019,7688.529785,3447190000,0.755082,NASDAQ
3/18/2019,7714.47998,2274490000,0.3375183,NASDAQ
3/19/2019,7723.950195,2433160000,0.122758955,NASDAQ
3/20/2019,7728.970215,2424400000,0.06499291,NASDAQ
3/21/2019,7838.959961,2483580000,1.423084097,NASDAQ
3/22/2019,7642.669922,2490730000,-2.504031657,NASDAQ
3/25/2019,7637.540039,2130230000,-0.067121609,NASDAQ
3/26/2019,7691.52002,2068900000,0.706771823,NASDAQ
3/27/2019,7643.379883,2221650000,-0.62588587,NASDAQ
3/28/2019,7669.169922,1902060000,0.337416685,NASDAQ
3/29/2019,7729.319824,2233470000,0.784307854,NASDAQ
4/1/2019,7828.910156,2198050000,1.288474721,NASDAQ
4/2/2019,7848.689941,2110100000,0.252650556,NASDAQ
4/3/2019,7895.549805,2487210000,0.597040581,NASDAQ
4/4/2019,7891.779785,2094200000,-0.04774867,NASDAQ
4/5/2019,7938.689941,2148730000,0.594417955,NASDAQ
4/8/2019,7953.879883,2069190000,0.191340663,NASDAQ
